"Date and Time Run 1","Time (s) Run 1","Force (N) Run 1","Acceleration - x (m/s²) Run 1","Acceleration - y (m/s²) Run 1","Acceleration - z (m/s²) Run 1","Acceleration - resultant (m/s²) Run 1","Position (m) Run 1","Velocity (m/s) Run 1","Acceleration (m/s²) Run 1","Angular Velocity - x (rad/s) Run 1","Angular Velocity - y (rad/s) Run 1","Angular Velocity - z (rad/s) Run 1"
02/03/2026 02:36:52 pm,-0.100,,,,,,,,0.558,,,
02/03/2026 02:36:52 pm,-0.050,,,,,,,0.046,0.641,,,
02/03/2026 02:36:53 pm,2.776E-17,0.01,0.7,9.9,0.0,10.0,0.0015,0.080,0.664,0.0,0.0,0.0
02/03/2026 02:36:53 pm,0.050,0.01,0.7,9.9,-0.1,9.9,0.0046,0.113,0.671,0.0,0.0,0.0
02/03/2026 02:36:53 pm,0.100,0.01,0.7,9.9,0.0,9.9,0.0095,0.146,0.689,0.0,0.0,0.0
02/03/2026 02:36:53 pm,0.150,0.01,0.6,9.9,0.1,10.0,0.0160,0.179,0.710,0.0,0.0,0.0
02/03/2026 02:36:53 pm,0.200,0.01,0.7,9.9,0.0,9.9,0.0240,0.215,0.724,0.0,0.0,0.0
02/03/2026 02:36:53 pm,0.250,0.01,0.8,9.7,0.0,9.8,0.0338,0.251,0.728,-0.1,0.0,-0.1
02/03/2026 02:36:53 pm,0.300,0.00,0.7,9.9,-0.1,10.0,0.0455,0.287,0.732,0.0,0.0,0.0
02/03/2026 02:36:53 pm,0.350,0.00,0.7,10.0,-0.2,10.0,0.0589,0.324,0.744,0.0,0.0,0.0
02/03/2026 02:36:53 pm,0.400,0.00,0.7,9.9,0.0,10.0,0.0742,0.360,0.761,0.0,0.0,0.0
02/03/2026 02:36:53 pm,0.450,0.00,0.7,10.1,-0.1,10.1,0.0913,0.398,0.776,0.0,0.0,0.0
02/03/2026 02:36:53 pm,0.500,0.01,0.7,10.1,0.0,10.1,0.1102,0.437,0.784,0.0,0.0,0.0
02/03/2026 02:36:53 pm,0.550,0.01,0.8,9.3,-0.1,9.3,0.1310,0.476,0.792,0.0,0.0,0.0
02/03/2026 02:36:53 pm,0.600,0.00,0.8,10.3,-0.1,10.3,0.1539,0.515,0.804,0.0,0.0,0.0
02/03/2026 02:36:53 pm,0.650,0.00,0.9,9.9,-0.1,9.9,0.1786,0.555,0.811,0.0,0.0,0.0
02/03/2026 02:36:53 pm,0.700,0.01,0.8,10.0,-0.1,10.1,0.2053,0.595,0.649,0.0,0.0,0.0
02/03/2026 02:36:53 pm,0.750,0.00,0.9,9.7,0.0,9.7,0.2340,0.637,-0.154,0.0,0.0,0.0
